                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 0.9999,                0.75086,                 1.0516,                0.46942,                0.45782,                0.37085,                0.25333,                 1.7102,                 2.0362,                 1.5434,             0.00046206,             0.00046206,             0.00046206
                     61,                0.96878,                0.64689,                  1.076,                0.49588,                0.45517,                0.37878,                0.24931,                 1.6992,                 1.9617,                 1.5373,             0.00045107,             0.00045107,             0.00045107
                     62,                0.96812,                0.79536,                 1.0991,                0.46552,                 0.4576,                0.37166,                 0.2691,                 1.6548,                 2.0084,                 1.4682,             0.00044007,             0.00044007,             0.00044007
                     63,                  1.118,                0.73905,                 1.1806,                0.46625,                0.48389,                0.39777,                0.28266,                 1.5177,                 1.8104,                 1.3765,             0.00042907,             0.00042907,             0.00042907
                     64,                 0.9326,                0.70287,                 1.0887,                0.46905,                0.48415,                0.41736,                0.28325,                 1.6183,                 1.8478,                  1.465,             0.00041807,             0.00041807,             0.00041807
                     65,                0.97762,                0.80906,                 1.0781,                 0.4666,                0.47509,                0.38742,                0.25686,                 1.5875,                 1.9416,                 1.4715,             0.00040707,             0.00040707,             0.00040707
                     66,                0.94248,                0.66239,                 1.0698,                0.46414,                0.48415,                0.39907,                0.27578,                 1.6729,                 1.8815,                 1.5355,             0.00039607,             0.00039607,             0.00039607
                     67,                 1.0602,                0.71837,                 1.0553,                0.49635,                0.47729,                0.39906,                0.27379,                 1.6266,                 2.0213,                 1.5013,             0.00038507,             0.00038507,             0.00038507
                     68,                0.89731,                0.61304,                 1.0363,                0.49322,                0.48415,                0.38357,                 0.2728,                 1.5305,                 1.9295,                 1.4053,             0.00037407,             0.00037407,             0.00037407
                     69,                 0.9318,                0.60517,                  1.048,                0.46068,                0.48858,                0.39439,                0.27795,                 1.6007,                 1.8761,                 1.4206,             0.00036307,             0.00036307,             0.00036307
                     70,                0.84648,                0.58926,                 1.0642,                0.50279,                0.47724,                0.39495,                0.28755,                  1.486,                 1.7642,                 1.3604,             0.00035208,             0.00035208,             0.00035208
                     71,                0.89575,                0.85415,                  1.071,                0.51198,                 0.4571,                0.38125,                0.27053,                  1.612,                 1.9595,                 1.4185,             0.00034108,             0.00034108,             0.00034108
                     72,                0.97028,                0.77146,                 1.1184,                0.48754,                0.47165,                0.39058,                0.28925,                 1.5283,                  1.904,                 1.4092,             0.00033008,             0.00033008,             0.00033008
                     73,                 0.9983,                 1.0874,                 1.2239,                0.46784,                0.47945,                0.37933,                 0.2884,                 1.5038,                 1.8997,                 1.3939,             0.00031908,             0.00031908,             0.00031908
                     74,                0.91446,                0.96631,                 1.0953,                0.45988,                0.49665,                 0.3934,                0.29896,                 1.4621,                 1.7938,                 1.3917,             0.00030808,             0.00030808,             0.00030808
                     75,                0.87923,                0.92623,                  1.075,                0.48502,                0.47165,                0.39009,                0.29134,                 1.4795,                 1.7481,                  1.411,             0.00029708,             0.00029708,             0.00029708
                     76,                0.93265,                0.75208,                 1.0421,                0.49246,                0.48146,                0.40851,                0.30198,                 1.4543,                 1.7599,                 1.3861,             0.00028608,             0.00028608,             0.00028608
                     77,                0.91506,                0.63682,                 1.0702,                0.47287,                0.49665,                0.39252,                0.29091,                 1.4607,                 1.7465,                 1.3618,             0.00027508,             0.00027508,             0.00027508
                     78,                0.86313,                0.66636,                 1.0433,                0.49068,                 0.4925,                0.39883,                 0.3074,                 1.4328,                 1.8123,                 1.3577,             0.00026408,             0.00026408,             0.00026408
                     79,                 1.0635,                0.76915,                 1.1992,                0.49357,                0.49397,                0.39321,                0.29472,                  1.394,                 1.8075,                 1.3545,             0.00025309,             0.00025309,             0.00025309
                     80,                0.87016,                0.59087,                 1.0036,                0.50248,                0.49015,                0.38676,                0.28935,                 1.3784,                 1.7852,                 1.3208,             0.00024209,             0.00024209,             0.00024209
                     81,                0.94251,                0.92737,                 1.0309,                0.50009,                0.49447,                0.38621,                 0.2951,                 1.3953,                 1.8835,                 1.3408,             0.00023109,             0.00023109,             0.00023109
                     82,                0.79519,                0.63305,                 1.0001,                0.49602,                0.49351,                0.39533,                0.31069,                 1.3621,                 1.8289,                 1.3167,             0.00022009,             0.00022009,             0.00022009
                     83,                0.79499,                0.58932,                 1.0352,                0.49769,                0.49401,                0.41245,                0.32324,                 1.3276,                 1.7491,                  1.294,             0.00020909,             0.00020909,             0.00020909
                     84,                 0.9618,                0.61152,                 1.1237,                0.49926,                0.49352,                0.40093,                0.32219,                 1.2997,                 1.7835,                 1.3034,             0.00019809,             0.00019809,             0.00019809
                     85,                0.75547,                0.59902,                 1.0091,                0.49943,                0.48093,                0.40191,                0.32198,                 1.2413,                 1.7574,                  1.284,             0.00018709,             0.00018709,             0.00018709
                     86,                0.81194,                0.51088,                0.98246,                0.48022,                0.49422,                0.39744,                0.31522,                 1.2625,                 1.7096,                 1.2684,             0.00017609,             0.00017609,             0.00017609
