                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.94819,                0.66705,                0.99095,                0.75316,                0.80246,                0.83073,                0.53131,                 1.4623,                0.86546,                 1.1945,             0.00033008,             0.00033008,             0.00033008
                     73,                0.96896,                0.66787,                 1.0061,                0.75316,                0.80246,                0.83073,                0.53131,                 1.4623,                0.86546,                 1.1945,             0.00031908,             0.00031908,             0.00031908
                     74,                0.97458,                 0.6845,                 1.0312,                0.78107,                0.77499,                0.82787,                0.51529,                 1.4844,                0.88036,                 1.1944,             0.00030808,             0.00030808,             0.00030808
                     75,                0.97876,                0.65897,                 1.0001,                0.78107,                0.77499,                0.82787,                0.51529,                 1.4844,                0.88036,                 1.1944,             0.00029708,             0.00029708,             0.00029708
                     76,                0.99089,                0.67041,                0.99382,                0.75429,                0.79742,                0.79963,                0.47857,                 1.5156,                0.89328,                 1.2035,             0.00028608,             0.00028608,             0.00028608
                     77,                0.97027,                0.60706,                0.99746,                0.75429,                0.79742,                0.79963,                0.47857,                 1.5156,                0.89328,                 1.2035,             0.00027508,             0.00027508,             0.00027508
                     78,                0.95718,                0.65201,                0.98035,                0.75429,                0.79742,                0.79963,                0.47857,                 1.5156,                0.89328,                 1.2035,             0.00026408,             0.00026408,             0.00026408
                     79,                0.98469,                 0.6481,                0.98714,                0.73741,                0.81377,                0.83383,                0.47114,                 1.5194,                0.88816,                 1.2002,             0.00025309,             0.00025309,             0.00025309
                     80,                0.92918,                0.63842,                0.99084,                0.73741,                0.81377,                0.83383,                0.47114,                 1.5194,                0.88816,                 1.2002,             0.00024209,             0.00024209,             0.00024209
                     81,                0.90091,                0.59973,                0.97037,                0.72764,                0.79123,                 0.8121,                0.46068,                  1.527,                0.89755,                 1.2013,             0.00023109,             0.00023109,             0.00023109
                     82,                0.93181,                0.60685,                0.96435,                0.72764,                0.79123,                 0.8121,                0.46068,                  1.527,                0.89755,                 1.2013,             0.00022009,             0.00022009,             0.00022009
                     83,                 1.0038,                0.66914,                 1.0195,                0.72142,                0.78152,                 0.8046,                0.46391,                 1.5392,                0.91427,                 1.2115,             0.00020909,             0.00020909,             0.00020909
                     84,                0.97934,                0.61187,                 1.0011,                0.72142,                0.78152,                 0.8046,                0.46391,                 1.5392,                0.91427,                 1.2115,             0.00019809,             0.00019809,             0.00019809
                     85,                0.93944,                0.60538,                0.99638,                0.73326,                0.74042,                0.78664,                 0.4569,                 1.5182,                 0.9072,                 1.2039,             0.00018709,             0.00018709,             0.00018709
                     86,                0.93319,                0.63511,                0.99674,                0.73326,                0.74042,                0.78664,                 0.4569,                 1.5182,                 0.9072,                 1.2039,             0.00017609,             0.00017609,             0.00017609
                     87,                0.98894,                0.64754,                0.98961,                0.71079,                0.73605,                0.78306,                 0.4602,                 1.5083,                0.90257,                 1.2068,             0.00016509,             0.00016509,             0.00016509
                     88,                0.94904,                0.62661,                0.97085,                0.71079,                0.73605,                0.78306,                 0.4602,                 1.5083,                0.90257,                 1.2068,              0.0001541,              0.0001541,              0.0001541
                     89,                0.97304,                0.64197,                 0.9814,                0.71079,                0.73605,                0.78306,                 0.4602,                 1.5083,                0.90257,                 1.2068,              0.0001431,              0.0001431,              0.0001431
                     90,                0.96059,                0.63638,                 1.0345,                 0.7238,                0.65967,                0.75947,                0.44928,                 1.5017,                0.90717,                 1.2059,              0.0001321,              0.0001321,              0.0001321
                     91,                0.92929,                0.61012,                0.94773,                 0.7238,                0.65967,                0.75947,                0.44928,                 1.5017,                0.90717,                 1.2059,              0.0001211,              0.0001211,              0.0001211
                     92,                0.92648,                0.62037,                0.97374,                0.67935,                0.66847,                0.76861,                0.43751,                 1.5059,                0.91803,                  1.203,              0.0001101,              0.0001101,              0.0001101
                     93,                0.94634,                 0.6512,                0.98226,                0.67935,                0.66847,                0.76861,                0.43751,                 1.5059,                0.91803,                  1.203,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.90446,                0.64272,                0.96913,                0.61214,                0.94121,                0.81002,                0.45254,                 1.4848,                0.90678,                 1.1908,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.91195,                0.61893,                0.96556,                0.61214,                0.94121,                0.81002,                0.45254,                 1.4848,                0.90678,                 1.1908,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.98549,                0.63377,                 1.0222,                 0.6102,                0.93329,                 0.8096,                0.45589,                 1.4849,                0.90842,                 1.1924,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.87802,                  0.623,                0.95587,                 0.6102,                0.93329,                 0.8096,                0.45589,                 1.4849,                0.90842,                 1.1924,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.94321,                0.60878,                0.98633,                0.60566,                0.90118,                0.80934,                0.45813,                 1.4814,                0.89856,                 1.1924,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.81361,                0.53238,                0.91997,                0.60566,                0.90118,                0.80934,                0.45813,                 1.4814,                0.89856,                 1.1924,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                 0.8816,                0.60145,                0.97327,                0.60566,                0.90118,                0.80934,                0.45813,                 1.4814,                0.89856,                 1.1924,             2.2109e-05,             2.2109e-05,             2.2109e-05
